PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
11,4/23/25,15:23.9,3,1,"Davis, Johnny",10001711,Right,FOR_RAM,"Ford, Tim",10108429,Right,FOR_RAM,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.41533,-1.092242,-6.483709,1731.868651,197.57657,12:30,5.24555,3.61548,6.12027,-17.07151,24.01458,7.1037,2.80655,-1.81236,74.60633,-4.42333,-5.218131,0.461338,,,,,,,,,,,,-5.80315,13.1315,-3.12038,50,5.15225,13.36753,-120.15115,-2.67464,-8.31301,27.63509,-13.36318,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,296d9ef0-205e-11f0-9806-db09406242ed,81.70252,,,8.809,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,15:23.9,2025-04-23T12:15:23.8660000-04:00,2025-04-23T16:15:23.8660000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,b218b4d9-afb7-4159-a796-f1a0f26d6b6b,54.37145,-121.15243,13.81754,5.24038,-2.19047,-6.68159,-3.61017,13.66872,-4.15651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,4/23/25,15:41.1,3,2,"Davis, Johnny",10001711,Right,FOR_RAM,"Ford, Tim",10108429,Right,FOR_RAM,Undefined,1,Top,0,1,0,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.28199,-1.353432,-5.691918,1766.628692,230.825873,1:45,5.29732,3.73041,6.06164,-28.26289,13.79339,14.96863,1.68303,-0.30751,73.99435,-6.67954,-3.015247,0.466753,76.22501,50.688185,66.542299,5425.161326,,,,,58.91419,,,-9.57272,8.00335,-3.29529,50,5.1769,11.25709,-118.77205,-3.63531,-13.4311,26.5231,-20.94488,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,33d5a720-205e-11f0-9806-db09406242ed,80.75463,64.33959,,8.28764,,,,1.05469,1.64043,0.32653,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,15:41.1,2025-04-23T12:15:41.1320000-04:00,2025-04-23T16:15:41.1320000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,f42a7932-f505-4e2a-9c4e-33c26305989b,54.43404,-119.75813,13.26155,5.29758,-2.85662,-10.47244,-3.72309,11.75643,-6.71555,,1.05469,28.19434,-15.05685,4.22209,-0.12728,-1.25307,1.20045,-0.56561,0.11899,1.64043,86.49806,-25.44841,2.84586,-0.74101,0.46854,-0.36495,0.17486,-0.03673,0.32653,64.97402,-9.63407,1.58183,-0.35049,0.26479,-0.23393,0.11728,-0.02497,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
13,4/23/25,15:59.0,3,3,"Davis, Johnny",10001711,Right,FOR_RAM,"Ford, Tim",10108429,Right,FOR_RAM,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,70.45483,-0.918991,-5.458229,1870.204484,135.351019,10:30,5.30915,3.92158,5.73158,-47.75219,9.3841,-7.51221,0.47001,-1.80294,65.19951,-9.623089,-6.791784,0.544036,,,,,,,,,,,,2.31992,5.54158,-3.46054,50,5.20271,9.98043,-101.87693,-2.96814,2.4341,16.99614,-26.35969,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,3e83b900-205e-11f0-9806-db09406242ed,69.28302,,,5.25533,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,15:59.0,2025-04-23T12:15:58.9880000-04:00,2025-04-23T16:15:58.9880000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,5403c6a2-bcc3-45aa-99c0-33083d99df37,54.76723,-102.66917,8.49807,5.31242,-1.73944,-13.17985,-3.92312,9.86697,1.21705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,4/23/25,16:15.7,3,4,"Davis, Johnny",10001711,Right,FOR_RAM,"Ford, Tim",10108429,Right,FOR_RAM,Undefined,1,Top,0,2,1,Sinker,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,80.83676,-1.062462,-5.149561,1604.067894,252.172261,2:30,5.33496,3.57114,5.94335,-36.81427,6.8576,16.22867,1.27748,0.13404,72.9087,-7.905432,-2.246416,0.475633,93.05146,-18.078708,-17.793596,,,,,8.42955,8.42955,-16.211737,0.048232,-10.05162,4.32327,-3.16923,50,5.22946,9.90779,-116.8131,-3.31031,-13.63777,25.71057,-26.30835,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,48769130-205e-11f0-9806-db09406242ed,79.24683,2.04595,,7.92806,,,,2.12669,2.04595,-0.43815,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,16:15.7,2025-04-23T12:16:15.7410000-04:00,2025-04-23T16:16:15.7410000Z,GroundBall,v3,471298,471298,,,,Undefined,FOR_RAM,ced213bc-6e92-418b-b932-4f1f75338f73,54.55391,-117.81115,12.85529,5.33814,-2.28906,-13.15418,-3.56411,10.43719,-6.81888,180,2.12516,123.72789,,,,,,,,2.04648,-42.41879,,,,,,,,-0.43766,-39.70943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
15,4/23/25,16:37.7,4,1,"Davis, Johnny",10001711,Right,FOR_RAM,"Chavez, Carson",10319485,Right,FOR_RAM,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.87971,0.64861,-3.679449,1831.79031,248.601881,2:15,5.3298,3.80504,6.08016,-32.94207,9.23217,19.56903,3.18598,2.02694,73.58093,-5.542107,-0.16223,0.467407,,,,,,,,,,,,-11.39197,4.96063,-3.53108,50,5.36264,6.89107,-118.61006,0.3639,-15.92246,26.67784,-25.24059,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,557793c0-205e-11f0-9806-db09406242ed,80.64165,,,8.29878,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,16:37.7,2025-04-23T12:16:37.7230000-04:00,2025-04-23T16:16:37.7230000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,0b71088c-e32f-4607-ac28-471e76c2a1cf,54.41805,-119.59964,13.33892,5.33178,1.30017,-12.62029,-3.79764,7.48169,-7.96123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
16,4/23/25,17:29.3,4,2,"Davis, Johnny",10001711,Right,FOR_RAM,"Grabau, Anthony",1000407420,Left,FOR_RAM,Undefined,1,Top,0,1,0,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.37385,-1.045555,-4.911144,1864.782119,236.264722,2:00,5.3507,3.86318,6.18868,-28.58376,13.35205,17.48595,1.99971,0.77479,73.56802,-6.466178,-1.769102,0.466084,77.78087,44.690958,-24.156773,,89.65766,77.31536,-63.72935,230.9423,136.15533,-42.285087,4.376261,-10.76111,7.74367,-3.50074,50,5.25744,9.55374,-119.02054,-2.98586,-15.04366,28.25681,-21.34867,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,746d9a40-205e-11f0-9806-db09406242ed,80.87053,80.4348,,8.80583,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,17:29.3,2025-04-23T12:17:29.3280000-04:00,2025-04-23T16:17:29.3280000Z,FlyBall,v3,471298,471298,,,,Undefined,FOR_RAM,13ed3345-1ae9-4800-af61-3053fe6dd3a4,54.30647,-120.03859,14.12841,5.35116,-2.2167,-10.67434,-3.8547,10.09574,-7.52183,,1.20718,74.50362,-19.73089,9.66748,-6.34378,3.13745,-0.92485,0.14234,-0.00875,3.89005,80.5872,-26.46133,5.47919,-2.96572,1.24836,-0.30687,0.03865,-0.00192,-4.65948,-33.1418,-5.18299,3.96708,-2.53504,1.32054,-0.43005,0.07364,-0.00499,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
17,4/23/25,18:11.4,4,3,"Davis, Johnny",10001711,Right,FOR_RAM,"Chavez, Carson",10319485,Right,FOR_RAM,Undefined,1,Top,0,1,1,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.84367,-0.991979,-6.409778,1805.658526,254.545433,2:30,5.26669,3.60738,6.2792,-36.44707,6.36453,17.69308,1.30927,-0.85093,73.61104,-7.775403,-3.236497,0.470926,,,,,,,,,,,,-11.10871,4.03008,-3.14087,50,5.17546,12.4757,-116.76866,-3.10185,-15.23594,23.34784,-26.64667,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,8d7d5020-205e-11f0-9806-db09406242ed,80.03906,,,7.23263,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,18:11.4,2025-04-23T12:18:11.3700000-04:00,2025-04-23T16:18:11.3700000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,d53cd386-107f-464a-b63e-dcfa00ac93b4,54.21965,-117.60935,11.67392,5.26987,-2.14238,-13.32333,-3.59996,13.02431,-7.61797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
18,4/23/25,18:25.3,4,4,"Davis, Johnny",10001711,Right,FOR_RAM,"Chavez, Carson",10319485,Right,FOR_RAM,Undefined,1,Top,0,1,2,Sinker,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,81.42255,-1.622371,-5.494668,1798.081627,240.632252,2:00,5.26745,3.67326,6.13241,-31.46293,10.78985,16.63194,1.1387,-0.03494,74.28197,-7.491354,-2.512571,0.467842,75.32852,10.992025,-19.229669,1554.680452,102.26222,6.02075,-40.52699,141.48315,51.7875,-22.483734,1.442698,-10.27064,6.45607,-3.26135,50,5.12663,10.72098,-117.7625,-4.27155,-14.35294,23.37573,-23.15185,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,95ca1970-205e-11f0-9806-db09406242ed,80.56664,8.48972,,7.14058,,,,2.5119,1.49416,-0.19689,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,18:25.2,2025-04-23T12:18:25.2580000-04:00,2025-04-23T16:18:25.2580000Z,GroundBall,v3,471298,471298,,,,Undefined,FOR_RAM,a06a6f03-ea0d-49c5-83dc-70f868bf7419,54.36696,-118.62617,11.68786,5.26865,-3.41615,-11.57593,-3.66726,11.25129,-7.17647,,2.65726,101.00473,-8.5398,,,,,,,1.58208,20.24121,-14.82993,,,,,,,-0.14385,-36.23444,-0.83252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
19,4/23/25,18:50.6,5,1,"Davis, Johnny",10001711,Right,FOR_RAM,"Grabau, Anthony",1000407420,Left,FOR_RAM,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,70.15632,-0.080104,-6.138974,1929.744665,117.606321,10:00,5.37628,3.78716,5.73346,-53.04385,5.93874,-7.13618,0.88094,-2.54634,63.61117,-9.798862,-7.402827,0.552756,,,,,,,,,,,,1.48539,3.72957,-3.26949,50,5.33772,11.11872,-101.08844,-1.63315,1.50159,20.02066,-28.40382,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,a4fcc910-205e-11f0-9806-db09406242ed,68.19005,,,6.54515,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,18:50.6,2025-04-23T12:18:50.5970000-04:00,2025-04-23T16:18:50.5970000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,5803735a-fda6-49b3-9545-5096a18488d5,54.76067,-102.02694,10.01033,5.38307,-0.30167,-14.20191,-3.78905,11.04833,0.7508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
20,4/23/25,19:16.8,5,2,"Davis, Johnny",10001711,Right,FOR_RAM,"Grabau, Anthony",1000407420,Left,FOR_RAM,Undefined,1,Top,1,1,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.12066,-1.352122,-6.205169,1922.029327,231.668179,1:45,5.20213,3.64773,6.07203,-28.44017,15.03178,16.85261,1.57336,-0.71225,72.67111,-6.727873,-3.195277,0.474543,,,,,,,,,,,,-10.70319,8.67823,-3.17411,50,5.08199,12.05517,-116.93374,-3.57339,-14.51348,26.29505,-20.40644,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,b47d98b0-205e-11f0-9806-db09406242ed,79.42885,,,8.44955,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,19:16.8,2025-04-23T12:19:16.7580000-04:00,2025-04-23T16:19:16.7580000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,d0401684-17df-491c-bf3c-9fe09d0c13ac,54.42204,-117.92393,13.14753,5.20208,-2.80494,-10.20322,-3.63836,12.60171,-7.25674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
21,4/23/25,19:34.4,5,3,"Davis, Johnny",10001711,Right,FOR_RAM,"Grabau, Anthony",1000407420,Left,FOR_RAM,Undefined,1,Top,1,1,1,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.70569,-1.067159,-6.274912,1828.558545,235.043974,1:45,5.21219,3.61124,6.18977,-28.99159,14.67891,18.56529,1.80489,-0.65837,72.34206,-6.55585,-2.952026,0.475626,,,,,,,,,,,,-11.66957,8.42981,-3.14555,50,5.11686,12.09493,-116.38956,-2.97603,-15.68773,25.91367,-20.84161,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,bf0cb0e0-205e-11f0-9806-db09406242ed,79.2481,,,8.36363,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,19:34.4,2025-04-23T12:19:34.4230000-04:00,2025-04-23T16:19:34.4230000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,6dc58e8e-5c74-4ed3-9bf3-a26f379c65fb,54.30558,-117.34427,12.95684,5.21236,-2.20819,-10.4208,-3.6018,12.67289,-7.84386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
22,4/23/25,19:51.8,5,4,"Davis, Johnny",10001711,Right,FOR_RAM,"Grabau, Anthony",1000407420,Left,FOR_RAM,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,69.68322,1.422013,-2.593804,1935.063086,117.068015,10:00,5.26206,3.72258,5.56903,-53.00349,6.18197,-7.99906,2.17505,0.63145,63.29819,-8.331722,-4.018268,0.553706,,,,,,,,,,,,3.27173,3.13622,-3.49326,50,5.34981,4.83845,-100.94855,1.01184,3.31937,19.01071,-28.99219,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,c95d8790-205e-11f0-9806-db09406242ed,68.07307,,,6.38503,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,19:51.8,2025-04-23T12:19:51.8450000-04:00,2025-04-23T16:19:51.8450000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,98ce333e-337e-49a1-9ed1-8aa1b41a731e,54.92982,-101.87271,9.50536,5.26636,2.42122,-14.49609,-3.72455,4.67708,1.65969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
23,4/23/25,20:19.8,6,1,"Davis, Johnny",10001711,Right,FOR_RAM,"Ford, Tim",10108429,Right,FOR_RAM,Undefined,1,Top,0,0,0,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.18055,-0.526302,-4.962756,1878.176069,228.828513,1:45,5.27707,3.66425,5.98416,-26.38923,15.26824,15.84154,2.58831,0.37305,74.67629,-5.491653,-2.129424,0.464534,67.05099,50.477418,-46.383081,5125.59775,66.04722,74.12829,-87.96457,200.80344,84.90923,-56.696468,4.112871,-9.65264,8.413,-3.28062,50,5.22085,9.72823,-118.94723,-1.86114,-13.75238,23.99826,-20.18784,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,da0746d0-205e-11f0-9806-db09406242ed,81.14029,74.12466,,7.50426,,,,2.30981,3.97762,-1.92639,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,20:19.8,2025-04-23T12:20:19.7900000-04:00,2025-04-23T16:20:19.7900000Z,Popup,v3,471298,471298,,,,Undefined,FOR_RAM,9cfcd5f8-675e-46ca-a28f-bada83ee0ad2,54.51443,-119.85458,11.99913,5.27678,-1.09786,-10.09392,-3.65826,10.24819,-6.87619,,2.3112,43.1452,-8.08304,1.93734,-0.5439,0.24973,-0.10396,0.02202,-0.00172,3.97465,75.93981,-24.18816,3.32524,-1.44877,0.62636,-0.1817,0.0283,-0.00177,-1.92295,-45.39633,0.68313,-0.312,0.64081,-0.38561,0.11042,-0.01452,0.00068,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,Low,Low,,,
24,4/23/25,20:55.9,6,2,"Davis, Johnny",10001711,Right,FOR_RAM,"Ford, Tim",10108429,Right,FOR_RAM,Undefined,1,Top,0,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.82161,0.226301,-3.591792,1936.021558,141.303812,10:45,5.23004,3.84367,5.37619,-43.91908,9.36532,-6.32213,1.78269,-0.05479,67.76854,-7.762649,-4.711616,0.525378,97.26227,15.546602,34.234924,3368.031851,86.31347,23.24438,68.19021,256.61302,147.17079,45.773849,2.485438,2.33693,5.06221,-3.51689,50,5.21895,6.85399,-105.66424,-0.91784,2.67158,16.12004,-26.38695,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,ef92df00-205e-11f0-9806-db09406242ed,71.74353,24.51629,,5.05308,,,,3.19119,2.25985,-0.06032,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,20:55.9,2025-04-23T12:20:55.9080000-04:00,2025-04-23T16:20:55.9080000Z,LineDrive,v3,471298,471298,,,,Undefined,FOR_RAM,f24bb4eb-445f-4034-8d18-15f55ba7d602,55.12415,-106.4431,8.06002,5.2325,0.35709,-13.19347,-3.84493,6.72491,1.33579,,3.19108,113.6256,-29.23418,7.77407,-1.98709,0.52581,-0.11603,0.01573,-0.00089,2.26002,38.22466,-16.9082,0.13499,0.48854,-0.29526,0.0933,-0.01531,0.00099,-0.06029,77.31584,-1.64776,0.05617,0.10017,-0.05841,0.01835,-0.00309,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
25,4/23/25,21:21.7,6,3,"Davis, Johnny",10001711,Right,FOR_RAM,"Ford, Tim",10108429,Right,FOR_RAM,Undefined,1,Top,0,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,68.70546,0.722845,-2.33984,1910.836825,135.155723,10:30,5.31592,3.76049,5.64683,-50.56137,8.90091,-7.11217,1.77731,0.98411,63.68933,-8.536487,-3.609206,0.554999,,,,,,,,,,,,3.16764,4.55622,-3.5569,50,5.3443,4.29003,-99.83248,-0.10518,3.20267,15.79535,-27.56741,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,fee4d670-205e-11f0-9806-db09406242ed,67.91444,,,5.01613,,,,,,,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,21:21.7,2025-04-23T12:21:21.7230000-04:00,2025-04-23T16:21:21.7230000Z,,v3,471298,471298,,,,Undefined,FOR_RAM,ce45e1ac-fc3c-4870-a4dd-0cc490e183cb,54.85706,-100.59802,7.89768,5.31702,1.23091,-13.78371,-3.76106,4.13481,1.60133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
26,4/23/25,21:42.6,6,4,"Davis, Johnny",10001711,Right,FOR_RAM,"Ford, Tim",10108429,Right,FOR_RAM,Undefined,1,Top,0,0,2,Sinker,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.64194,-0.742186,-4.660799,1738.273767,249.805728,2:15,5.43106,3.77503,5.94584,-35.76592,5.76477,11.64111,1.75985,0.41253,74.85562,-7.379407,-2.577163,0.463827,94.84658,-13.281386,5.219099,,,,,11.29032,11.29032,-0.564836,0.066746,-7.4976,3.59083,-3.41,50,5.35171,9.3015,-119.57575,-2.68455,-10.70748,25.99084,-27.04593,FOR_RAM,FOR_RAM,FordhamUniversity,TeamExclusive,Team,20250423-FordhamUniversity-Private-1,0b67f670-205f-11f0-9806-db09406242ed,81.26402,2.13631,,7.78632,,,,2.27692,2.13631,-0.93456,b6f18ef8-f89f-4031-be50-85544f5bcff9,4/23/25,21:42.6,2025-04-23T12:21:42.6180000-04:00,2025-04-23T16:21:42.6180000Z,GroundBall,v3,471298,471298,,,,Undefined,FOR_RAM,acbca996-0e6f-4710-883d-b238e0c21268,54.5523,-120.56117,12.99542,5.43405,-1.65913,-13.52297,-3.77035,9.70746,-5.35374,180,2.2747,135.03277,,,,,,,,2.13684,-32.00677,,,,,,,,-0.93477,12.33433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,Low,High,,,
